eventdate,season,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,score1,score2
9/8/2011,2011,GB,NO,1661.483,1562.051,0.720420157,0.279579843,1672.915,1550.62,42,34
9/11/2011,2011,SF,SEA,1464.78,1441.102,0.624917023,0.375082977,1485.21,1420.672,33,17
9/11/2011,2011,LAC,MIN,1551.399,1488.493,0.6761832,0.3238168,1564.126,1475.766,24,17
9/11/2011,2011,ARI,CAR,1392.072,1390.369,0.594831064,0.405168936,1408.426,1374.014,28,21
9/11/2011,2011,CHI,ATL,1555.479,1581.397,0.556007491,0.443992509,1581.168,1555.707,30,12
9/11/2011,2011,JAX,TEN,1474.46,1471.892,0.596030551,0.403969449,1483.072,1463.28,16,14
9/11/2011,2011,KC,BUF,1476.341,1439.839,0.642054507,0.357945493,1428.478,1487.702,7,41
9/11/2011,2011,HOU,IND,1478.396,1567.7,0.465080671,0.534919329,1514.444,1531.652,34,7
9/11/2011,2011,CLE,CIN,1444.456,1449.716,0.585135403,0.414864597,1415.61,1478.561,17,27
9/11/2011,2011,BAL,PIT,1612.017,1606.563,0.600024172,0.399975828,1638.118,1580.463,35,7
9/11/2011,2011,TB,DET,1523.472,1450.819,0.688345216,0.311654784,1492.934,1481.358,20,27
9/11/2011,2011,LAR,PHI,1416.52,1551.734,0.400307439,0.599692561,1393.676,1574.579,13,31
9/11/2011,2011,WSH,NYG,1436.016,1538.007,0.446965911,0.553034089,1466.481,1507.542,28,14
9/11/2011,2011,NYJ,DAL,1602.275,1509.606,0.712512018,0.287487982,1609.713,1502.169,27,24
9/12/2011,2011,DEN,OAK,1386.636,1506.296,0.42198056,0.57801944,1375.22,1517.712,20,23
9/12/2011,2011,MIA,NE,1478.506,1642.569,0.361178571,0.638821429,1459.787,1661.288,24,38
9/18/2011,2011,MIA,HOU,1459.787,1514.444,0.514880378,0.485119622,1434.978,1539.253,13,23
9/18/2011,2011,ATL,PHI,1555.707,1574.579,0.565996209,0.434003791,1569.39,1560.895,35,31
9/18/2011,2011,NE,LAC,1661.288,1564.126,0.717780669,0.282219331,1675.524,1549.89,35,21
9/18/2011,2011,MIN,TB,1475.766,1492.934,0.568404161,0.431595839,1457.063,1511.637,20,24
9/18/2011,2011,DET,KC,1481.358,1428.478,0.663419869,0.336580131,1505.82,1404.016,48,3
9/18/2011,2011,CAR,GB,1374.014,1672.915,0.206452606,0.793547394,1366.253,1680.676,23,30
9/18/2011,2011,WSH,ARI,1466.481,1408.426,0.670039015,0.329960985,1470.813,1404.094,22,21
9/18/2011,2011,DEN,CIN,1375.22,1478.561,0.445045763,0.554954237,1387.63,1466.151,24,22
9/18/2011,2011,IND,CLE,1531.652,1415.61,0.739266859,0.260733141,1496.253,1451.01,19,27
9/18/2011,2011,NO,CHI,1550.62,1581.168,0.549418544,0.450581456,1576.265,1555.523,30,13
9/18/2011,2011,SF,DAL,1485.21,1502.169,0.568699283,0.431300717,1469.091,1518.288,24,27
9/18/2011,2011,PIT,SEA,1580.463,1420.672,0.784823632,0.215176368,1593.031,1408.104,24,0
9/18/2011,2011,TEN,BAL,1463.28,1638.118,0.346994108,0.653005892,1499.558,1601.841,26,13
9/18/2011,2011,BUF,OAK,1487.702,1517.712,0.550185107,0.449814893,1499.978,1505.436,38,35
9/18/2011,2011,NYJ,JAX,1609.713,1483.072,0.750854396,0.249145604,1625.303,1467.482,32,3
9/19/2011,2011,NYG,LAR,1507.542,1393.676,0.736845217,0.263154783,1520.027,1381.191,28,16
9/25/2011,2011,TB,ATL,1511.637,1569.39,0.510427759,0.489572241,1525.166,1555.861,16,13
9/25/2011,2011,BUF,NE,1499.978,1675.524,0.346071203,0.653928797,1519.068,1656.434,34,31
9/25/2011,2011,LAR,BAL,1381.191,1601.841,0.289874545,0.710125455,1362.598,1620.434,7,37
9/25/2011,2011,CLE,MIA,1451.01,1434.978,0.614544997,0.385455003,1456.164,1429.824,17,16
9/25/2011,2011,LAC,KC,1549.89,1404.016,0.77098622,0.22901378,1555.685,1398.222,20,17
9/25/2011,2011,CIN,SF,1466.151,1469.091,0.588373624,0.411626376,1444.455,1490.787,8,13
9/25/2011,2011,PHI,NYG,1560.895,1520.027,0.64780967,0.35219033,1524.975,1555.948,16,29
9/25/2011,2011,CAR,JAX,1366.253,1467.482,0.448050431,0.551949569,1388.094,1445.641,16,10
9/25/2011,2011,OAK,NYJ,1505.436,1625.303,0.421689944,0.578310056,1533.88,1596.859,34,24
9/25/2011,2011,NO,HOU,1576.265,1539.253,0.642728931,0.357271069,1590.465,1525.053,40,33
9/25/2011,2011,SEA,ARI,1408.104,1404.094,0.598027604,0.401972396,1418.91,1393.288,13,10
9/25/2011,2011,CHI,GB,1555.523,1680.676,0.414287591,0.585712409,1536.183,1700.015,17,27
9/25/2011,2011,TEN,DEN,1499.558,1387.63,0.734676307,0.265323693,1506.367,1380.821,17,14
9/25/2011,2011,IND,PIT,1496.253,1593.031,0.454394885,0.545605115,1483.834,1605.45,20,23
9/25/2011,2011,MIN,DET,1457.063,1505.82,0.523358541,0.476641459,1442.444,1520.438,23,26
9/26/2011,2011,DAL,WSH,1518.288,1470.813,0.656437433,0.343562567,1525.47,1463.631,18,16
10/2/2011,2011,CIN,BUF,1444.455,1519.068,0.48616931,0.51383069,1458.764,1504.759,23,20
10/2/2011,2011,LAC,MIA,1555.685,1429.824,0.750013489,0.249986511,1566.716,1418.792,26,16
10/2/2011,2011,LAR,WSH,1362.598,1463.631,0.448329469,0.551670531,1344.253,1481.976,10,17
